point	x	y	Oxalis	boreal	nBor	nTot	Grn	NDVI	T61	Wet
1	2109.7	2093.52	0	15.3846154	2	13	0.0597027	0.48018	296.367	-0.0264378
2	2190.18	2105.71	1	19.047619	4	21	0.0514881	0.48399	296.367	-0.0234048
3	2064.48	2052.77	1	20	6	30	0.050951	0.489213	296.367	-0.0189264
4	2277.34	2103.42	0	15.3846154	2	13	0.0521183	0.473226	296.367	-0.0280431
5	2347.91	2074.81	0	0	0	13	0.0422267	0.405898	296.785	-0.0292287
6	2437.21	2086.95	0	16.6666667	1	6	0.0417779	0.424769	296.367	-0.0229209
7	2550	2051.68	1	12.5	2	16	0.0446499	0.448272	295.948	-0.018168
8	2457.04	2059.33	1	23.8095238	5	21	0.0448393	0.448272	296.367	-0.0179054
9	2103.09	2019.63	1	22.2222222	4	18	0.0466947	0.46544	296.367	-0.0265979
10	2550	1946.86	0	7.6923077	1	13	0.0246004	0.347483	295.948	-0.0153049
11	2120	1996.47	1	22.7272727	5	22	0.0466947	0.46544	296.367	-0.0265979
12	2090	1964.58	0	15	3	20	0.0493495	0.461038	296.367	-0.0210237
13	2510	1923.75	0	4.1666667	1	24	0.0374491	0.420837	295.948	-0.018133
14	2100	1932.53	1	20	6	30	0.0444164	0.448272	296.367	-0.0255292
15	2076.59	1906.07	0	14.2857143	3	21	0.0423347	0.445506	296.367	-0.0142196
16	2524.34	1847.65	1	28	7	25	0.0223503	0.365633	295.948	-0.0122156
17	2092.02	1847.61	1	12.5	5	40	0.031749	0.388558	295.948	-0.0165557
18	2478.01	1728.49	1	7.6923077	2	26	0.0705016	0.511548	295.948	-0.02904
19	2520	1689.98	1	19.047619	4	21	0.061778	0.501296	295.948	-0.0132491
20	2040.24	1704.23	0	12.5	3	24	0.0303778	0.388558	295.948	-0.0171531
21	2054.53	1620.42	1	14.8148148	4	27	0.0489377	0.47177	295.948	-0.0220714
22	2471.42	1638.11	1	15	3	20	0.0972935	0.584838	295.948	-0.0300619
23	2429.47	1596.13	1	7.1428571	1	14	0.0761963	0.546885	295.948	-0.0348369
24	2371.07	1571.97	1	11.1111111	2	18	0.065856	0.506693	295.527	-0.0297147
25	2508.92	1584.08	0	0	0	11	0.0582256	0.490508	295.948	-0.0336724
26	2493.47	1552.04	0	0	0	7	0.0565941	0.495658	295.948	-0.0294323
27	2478	1974.41	1	13.6363636	3	22	0.0810897	0.530439	295.948	-0.0349435
28	2299.4	1998.74	1	30.7692308	4	13	0.05428	0.462935	296.367	-0.0258728
29	1036.68	1710.32	0	12.195122	5	41	0.0558737	0.479115	296.367	-0.0218772
30	1396.19	1658.48	1	17.8571429	5	28	0.0363421	0.427948	296.367	-0.0175881
31	1027.87	1644.19	1	20.5882353	7	34	0.0318782	0.40607	296.785	-0.0161019
32	972	1483.14	1	19.4444444	7	36	0.0198411	0.356876	295.948	-0.00915358
33	1389.54	1543.82	1	12.0689655	7	58	0.0362083	0.410812	296.367	-0.0231415
34	928.57	1257.12	0	4.7619048	1	21	0.0459175	0.45473	296.367	-0.0253583
35	1159.09	1357.4	1	20	6	30	0.0551379	0.479115	295.527	-0.0233848
36	1366.39	1289.08	1	18.5185185	5	27	0.0557576	0.495658	295.105	-0.0333576
37	1261.65	1206.38	1	10.3448276	3	29	0.0607446	0.506809	295.105	-0.0279067
38	1290	1566.99	1	10.5263158	4	38	0.0315601	0.3984	296.367	-0.0181897
39	2311.7	266.74	0	10	1	10	0.113497	0.596723	294.681	-0.0542595
40	2350	465.25	0	12.5	2	16	0.119803	0.613185	295.105	-0.0539028
41	2328	407.39	0	0	0	8	0.123165	0.622586	295.527	-0.0551005
42	2126.34	479.38	0	0	0	10	0.115337	0.606654	295.105	-0.0436858
43	2080	490.3	0	0	0	7	0.112323	0.603304	295.105	-0.0454962
44	1990	500.15	0	0	0	14	0.112465	0.589912	294.681	-0.0484387
45	1890	519.69	0	0	0	19	0.120449	0.613185	295.105	-0.0468653
46	1850	546.98	0	0	0	16	0.109049	0.596432	295.105	-0.0410975
47	1870	377.92	0	6.6666667	1	15	0.114054	0.596723	295.105	-0.0450668
48	1840	99.91	0	0	0	9	0.11599	0.587115	297.201	-0.0366838
49	2065.3	121.8	0	0	0	9	0.117265	0.626545	299.671	-0.0591203
